Вопрос,Схема ответа,метка
Как зарегистрироваться в ЛК?,"1. Для регистрации в личном кабинете перейдите по адресу: https://greendata.store/ru и нажмите по любой из кнопок : “Попробовать”, “Попробовать бесплатно”, “Войти” 
2.  Нажмите по ссылке «Регистрация». 
3. Заполните данные и нажмите по кнопке «Регистрация». После этого на указанную вами почту придет письмо для завершения регистрации. 
",2
Зачем указывать страну? |Зачем выбрирать язык? |Поменять язык |Как поменять язык ЛК?,"Кнопка с флагом в правом верхнем углу нужна для выбора языка. В настоящее время сайт доступен на русском, английском и французском языках.",2
Не приходит подтверждение на почту,"I. Если Вам не приходит письмо для подтверждения регистрации, выполните следующие действия: 
1. Убедитесь, что указан правильный почтовый адрес; 
2. Проверьте папку спам; 
3. Проверьте, не установлены ли фильтры, настроенные на удаление входящих писем; 
4. Проверьте, достаточно ли свободного места в почтовом ящике. Можно попробовать удалить несколько писем в своем почтовом ящике и нажать по ссылке для повторной отправки письма.

",2
Нет почты/забыл почту. Есть ли другой канал для регистрации?,В настоящее время доступна регистрация только по электронной почте.,2
Почему у меня все отображается не на том языке?,"Выбор языка зависит от настроек браузера. 
Chrome: Настройки — Дополнительные — Языки. Выбрать нужный в пункте Язык. 
Firefox: Настройки — Язык и внешний вид — Язык — Выбрать язык предпочитаемый для отображения страниц. Страницы приложения и личного кабинета по умолчанию будут отображаться на языке, который указан первым в списке. Кнопками Вверх и Вниз переместите нужный вам язык на первое место в списке. 
Edge: Настройки — Языки.Страницы приложения и личного кабинета по умолчанию будут отображаться на языке, который указан первым в списке. Нажмите по трем точкам справа от языка, чтобы выбрать другой,
Также язык в личном кабинете можно поменять с помощью кнопки верхней панели с флагом странны выбранного языка",2
 Как включить подсказки? | Как просмотреть подсказки| Хочу снова посмотреть подсказки ,"1. В правом верхнем углу нажмите на пункт «Подсказки»
2. Выберите раздел, по которому у вас возникли вопросы",2
Как отключить подсказки?,В окне подсказки нажмите по кнопке «Пропустить обзор»,2
Что такое проект? | Зачем создавать проект? | Зачем нужен проект?,"Проекты служат для группировки приложений. Например, в рамках бесплатного тарифа один проект может содержать одно приложение, но при этом можно создать до трех проектов. Для добавления проекта необходимо нажать на плюс рядом с именем пользователя в боковой панели",2
Как создать новый проект?,Для добавления проекта необходимо нажать на плюс рядом с именем пользователя в боковой панели личного кабинета,2
Можно ли создать несколько проектов?,"Да, можно. Количество проектов зависит от выбранного тарифа",2
