page_number,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count,embedding
1.0,"Вы начинаете работу с Системой GreenData, которая содержит передовой функционал автоматизации и способна преобразить работу любого бизнеса.Благодаря передовым инструментам автоматизации Вы сможете:",197,22,49.25,"[ 0.00653521 -0.01750944 -0.04272387 ... -0.00607046 -0.03421288
  0.01800465]"
13.0,"Постепенно Вы научитесь эффективно применять весь инструментарий платформы GreenData, а сейчас ознакомьтесь с предназначением основных модулей.",143,16,35.75,"[ 0.00511181 -0.0066931  -0.03192068 ...  0.01049793 -0.03327986
  0.02128537]"
18.0,"Модуль ""Модель данных"" позволяет организовать структуры для хранения и последующей обработки данных.В дальнейшем модель данных станет базой для модели бизнес-процессов.",168,20,42.0,"[ 0.03332577 -0.03724583 -0.04366744 ...  0.00202308 -0.0133469
  0.01277367]"
38.0,"Возможности модуля ""Бизнес-процессы"" позволяют Вам организовать взаимодействие и работу исполнителей по правилам бизнес-процессов в нотации BPMN2.0.",148,16,37.0,"[ 0.00963955 -0.03917069 -0.04323367 ... -0.00491661 -0.03479861
 -0.00088019]"
60.0,"В платформе GreenData логика работы строится на основе настройки бизнес-правил и алгоритмов, которые позволяют определять правила обработки данных, расчеты, логику бизнес-процессов и свойства интерфейса.",203,24,50.75,"[ 0.01142762 -0.04457758 -0.03888189 ...  0.006203    0.0025608
  0.00634618]"
63.0,"Он позволяет оперировать любыми атрибутами созданной пользователем объектной модели, использовать логические операторы и операторы цикла, определять переменные и любые другие конструкции для работы с данными, характерные для большинства языков программирования.",261,30,65.25,"[ 0.04435606 -0.03589847 -0.04165906 ... -0.02293673  0.01264337
 -0.00775216]"
65.0,"Для пользователей доступна возможность упрощенной настройки бизнес-правил и алгоритмов, с помощью интуитивно понятного редактора алгоритмов с богатым набором разнообразных функций.",180,20,45.0,"[ 0.02614562 -0.03562402 -0.01950323 ... -0.02573423 -0.02627851
 -0.00137271]"
69.0,"Система позволяет использовать данные для комплексных расчетов и анализа, возможно использование нейросетей и машинного обучения, а при необходимости, использование Python в ходе расчетов.",188,23,47.0,"[ 0.02000126 -0.01038483 -0.04433075 ...  0.00939159 -0.02354676
  0.00346365]"
82.0,С применением технологии Drag&Drop функционал платформы GreenData позволяет полностью кастомизировать пользовательский интерфейс под задачи конкретного пользователя или разные группы пользователей.,197,20,49.25,"[ 0.00336498 -0.03849656 -0.02754345 ... -0.00738194 -0.00807271
  0.01670098]"
90.0,"работать с оформлением (настраивать отображение, форматировать тексты и цветовое оформление, размещать полезные виджеты);",121,13,30.25,"[ 0.03540726 -0.01705079  0.00888485 ... -0.01379179 -0.01380197
  0.00629444]"
92.0,"настраивать правила отображения элементов (описывать связи атрибутов, настраивать логику поведения элементов управления, создавать подсказки для пользователя, настраивать подсветки, условия видимости и блокировки полей).",220,23,55.0,"[ 0.03652905 -0.02898591 -0.03512026 ...  0.00694689 -0.00917841
  0.0022596 ]"
94.0,Помимо экранных форм для максимальной кастомизации платформа GreenData позволяет настроить общую тему оформления приложения.,124,14,31.0,"[ 0.00956219 -0.03268883 -0.04368677 ... -0.01570513  0.00978255
 -0.01291208]"
96.0,Размещайте символику и настраивайте цветовое оформление в удобном конструкторе и в соответствии с корпоративным стилем вашей компании.,134,17,33.5,"[ 0.01400994 -0.02533188  0.00059223 ... -0.00921928 -0.02527501
 -0.00093976]"
98.0,"Возможность персонализировать страницу авторизации в соответствии с потребностями пользователя и бизнес-идеей проекта реализуется с помощью настроек вида и расположения компонентов, способа авторизации и возможности запомнить пользователя.",239,26,59.75,"[ 0.04448571 -0.03469082 -0.01994254 ...  0.00527007 -0.04000259
 -0.01195347]"
111.0,"Модуль ""Электронные документы"" (eDoc) позволяет формировать документы из пользовательских шаблонов с подстановкой любых данных, содержащихся в приложении.",154,17,38.5,"[ 0.02214265 -0.02416044 -0.02540429 ... -0.00869694 -0.05646835
 -0.00332696]"
131.0,"Функционал модуля ""Аналитика и отчетность"" собирает данные в удобном для анализа виде, обеспечивая наглядное представление данных и бизнес-графики.",147,18,36.75,"[ 0.02883135 -0.01718176 -0.03617195 ...  0.01104848 -0.04380725
 -0.01320924]"
151.0,"Инструментарий модуля ""Интеграции"" (ETL) позволяет загружать, импортировать и трансформировать данные из различных источников.",126,13,31.5,"[ 0.03808722 -0.03376797 -0.01284442 ... -0.01993372 -0.03398954
 -0.01711054]"
171.0,"Возможности модуля ""Сложные расчеты"" позволяют настраивать и выполнять сложные расчеты для решения любых бизнес-задач, в том числе с помощью средств машинного обучения.",168,22,42.0,"[ 0.02804985 -0.01019651 -0.02072976 ... -0.00288735 -0.02531606
  0.02712744]"
193.0,"Для приложений, созданных на платформе GreenData, вы можете организовывать работу с мобильных устройств.Функционал мобильного приложения GreenData:",147,16,36.75,"[ 0.00665874 -0.03876176 -0.03135457 ... -0.00787712 -0.02186733
 -0.00424404]"
211.0,быстрое создание мобильного приложения на основе ранее созданного web-приложения (настройка в конструкторе адаптированных визуалов);,132,14,33.0,"[-0.00181092 -0.01225551 -0.01208682 ... -0.01385006 -0.02347381
 -0.01556664]"
234.0,"Для решения специализированной задачи требуется определить связанные бизнес-сущности, которые станут структурами для хранения и последующей обработки данных приложения.",168,18,42.0,"[ 0.01813906 -0.03005508 -0.04195817 ...  0.01128585 -0.01341347
  0.0070645 ]"
256.0,"Для организации работы исполнителей по правилам BPMN 2.0 требуется смоделировать бизнес-процессы, настроить правила и назначить исполнителей.",141,16,35.25,"[ 0.00445185 -0.02954354 -0.02797973 ...  0.00109352 -0.01576573
  0.00565745]"
